Index,Nov-24,Oct-24,Sep-24,Aug-24,Jul-24,Jun-24,May-24,Apr-24,Mar-24,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,2022��4��,Mar-22,Nov-21,Oct-21,Sep-21,Aug-21,Jul-21,Jun-21,May-21,Apr-21,Mar-21,Nov-20,Oct-20,Sep-20,Aug-20,Jul-20,Jun-20,May-20,Apr-20,Mar-20,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Nov-18,Oct-18,Sep-18,Aug-18,Jul-18,Jun-18,May-18,Apr-18,Mar-18
Online,16675.2,14704.1,12575.5,12568.4,12792.6,13322.6,13558.5,11028.5,11546.4,16655.9,14716.2,12811.9,12289.1,11476.3,14715.5,12797.8,11245.3,12318.8,15042.6,13658.4,11589.1,11071.1,10217.3,13402.1,10912.6,8562.2,10571.4,14983.8,11894.5,10644.2,10118.6,9975.6,12893.6,10600.8,9545.4,10505.9,14098.8,11210.6,9738.8,9540.8,9284.2,11325.1,9477.8,8529.2,8456.8,12650.7,9070.1,8844,8420.5,7811.9,9519.3,8202,8060.6,8395.9,10149.5,7754.5,7589.1,7332.8,7052.7,8119.4,6899.1,6473,7047.2
Total,43763,45396.4,41112.3,38725.8,37757.4,40731.6,39211,35699.1,39019.9,42505,43333,39826,37932.7,36760.7,39951.4,37803.3,34910.5,37855.4,38615.1,40270.5,37744.9,36257.9,35870.1,38742.5,33547,29483.1,34233.1,41043.2,40453.9,36833,34394.9,34925.1,37585.8,35945.1,33152.6,35484.1,39514.2,38576.5,35294.7,33570.6,32202.5,33525.9,31972.8,28177.8,26449.9,38093.8,38104.3,34494.9,33896.3,33073.3,33878.1,32955.7,30586.1,31725.7,35259.7,35534.4,32005.4,31542.3,30733.7,30841.6,30359.1,28541.9,29193.6
Offline,27087.8,30692.3,28536.8,26157.4,24964.8,27409,25652.5,24670.6,27473.5,25849.1,28616.8,27014.1,25643.6,25284.4,25235.9,25005.5,23665.2,25536.6,23572.5,26612.1,26155.8,25186.8,25652.8,25340.4,22634.4,20920.9,23661.7,26059.4,28559.4,26188.8,24276.3,24949.5,24692.2,25344.3,23607.2,24978.2,25415.4,27365.9,25555.9,24029.8,22918.3,22200.8,22495,19648.6,17993.1,25443.1,29034.2,25650.9,25475.8,25261.4,24358.8,24753.7,22525.5,23329.8,25110.2,27779.9,24416.3,24209.5,23681,22722.2,23460,22068.9,22146.4
Online/Offline,0.615598166,0.479081072,0.4406766,0.48049118,0.512425495,0.48606662,0.528544976,0.447030068,0.420274082,0.644351254,0.51425037,0.474267142,0.479226786,0.453888564,0.583117701,0.511799404,0.475182969,0.482397813,0.638141903,0.513240218,0.443079546,0.439559611,0.398291804,0.528882733,0.482124554,0.409265376,0.446772633,0.574986377,0.416482839,0.406440921,0.41680981,0.39983166,0.522172994,0.418271564,0.404342743,0.420602766,0.554734531,0.409655813,0.381078342,0.397040342,0.405099855,0.510121257,0.421329184,0.434086907,0.47000239,0.497215355,0.31239366,0.344783224,0.330529365,0.30924256,0.390795113,0.331344405,0.357843333,0.359878782,0.404198294,0.279140674,0.31082105,0.302889362,0.297821038,0.357333357,0.294079284,0.293308683,0.318209732
