指标,网上零售额累计值(亿元),实物商品网上零售额累计值(亿元),社会消费品零售总额当期值(亿元),ecommerce_dev,网上零售额月度数据(亿元),社会消费品零售总额当期值(亿元),retail_sales,logistics_efficiency,consumer_behavior
2018年12月,90065,70198.2,35893.5,7487.9,9376.4,35893.5,28405.6,111.4,40738.15
2018年11月,80688.6,62710.3,35259.7,8569.6,10149.5,35259.7,26690.1,112.5,40247.805
2018年10月,70539.1,54140.7,35534.4,6203,7754.5,35534.4,29331.4,113.8,39757.46
2018年9月,62784.6,47937.7,32005.4,5944.6,7589.1,32005.4,26060.8,112.3,39267.115
2018年8月,55195.5,41993.1,31542.3,5532.2,7332.8,31542.3,26010.1,112.2,38776.77
2018年7月,47862.7,36460.9,30733.7,5184.3,7052.7,30733.7,25549.4,110.9,38286.425
2018年6月,40810,31276.6,30841.6,6457.6,8119.4,30841.6,24384,112.6,37796.08
2018年5月,32690.6,24819,30359.1,5324.1,6899.1,30359.1,25035,111.8,37305.735
2018年4月,25791.5,19494.9,28541.9,4927.8,6473,28541.9,23614.1,111.8,36815.39
2018年3月,19318.5,14567.1,29193.6,5493.9,7047.2,29193.6,23699.7,109.7,36325.045
2018年2月,12271.3,9073.2,,,,,,,35834.7
